0,1,2.0
3,1,4.0
4,1,4.0
5,1,4.0
7,1,2.0
8,1,4.0
9,1,2.0
11,1,2.0
13,1,4.0
14,1,3.0
15,1,1.0
16,1,3.0
17,1,2.0
20,1,4.0
23,1,4.0
24,1,1.0
27,1,2.0
28,1,4.0
30,1,3.0
32,1,2.0
36,1,2.0
37,1,2.0
38,1,2.0
39,1,2.0
42,1,1.0
43,1,5.0
45,1,5.0
46,1,2.0
49,1,3.0
50,1,5.0
51,1,3.0
54,1,5.0
55,1,1.0
57,1,1.0
60,1,3.0
3,2,5.0
6,2,4.0
11,2,3.0
13,2,2.0
14,2,4.0
15,2,2.0
16,2,3.0
18,2,1.0
19,2,5.0
20,2,4.0
21,2,4.0
22,2,2.0
23,2,2.0
25,2,3.0
26,2,4.0
28,2,1.0
29,2,2.0
30,2,1.0
34,2,4.0
39,2,3.0
40,2,1.0
43,2,3.0
44,2,5.0
45,2,4.0
46,2,5.0
48,2,3.0
51,2,4.0
56,2,1.0
58,2,5.0
59,2,5.0
1,3,1.0
34,3,3.0
3,3,4.0
36,3,1.0
5,3,3.0
41,3,1.0
12,3,3.0
46,3,2.0
14,3,2.0
47,3,2.0
18,3,1.0
21,3,2.0
56,3,4.0
57,3,2.0
59,3,2.0
60,3,2.0
30,3,2.0
27,4,2.0
0,5,3.0
4,5,3.0
5,5,5.0
7,5,3.0
8,5,5.0
9,5,3.0
10,5,3.0
12,5,2.0
13,5,3.0
15,5,2.0
17,5,5.0
18,5,1.0
19,5,1.0
20,5,4.0
21,5,2.0
22,5,1.0
24,5,4.0
25,5,1.0
26,5,2.0
29,5,2.0
30,5,1.0
33,5,5.0
34,5,1.0
37,5,2.0
38,5,3.0
40,5,1.0
41,5,2.0
42,5,5.0
43,5,4.0
47,5,1.0
51,5,1.0
52,5,5.0
53,5,4.0
54,5,3.0
55,5,1.0
57,5,3.0
59,5,5.0
60,5,2.0
1,6,1.0
2,6,2.0
4,6,1.0
5,6,3.0
6,6,2.0
8,6,1.0
11,6,1.0
12,6,5.0
13,6,2.0
15,6,5.0
16,6,2.0
17,6,5.0
18,6,3.0
19,6,5.0
22,6,4.0
23,6,2.0
25,6,2.0
26,6,4.0
27,6,5.0
33,6,3.0
35,6,5.0
38,6,2.0
40,6,1.0
41,6,2.0
